Algorithm,Problem,ExecutionId,IndicatorName,IndicatorValue
MODE_best,MOQMKP,0,IGD,0.0951736004567288
MODE_best,MOQMKP,0,HV,0.6128417212254486
MODE_best,MOQMKP,1,IGD,0.07484411184096601
MODE_best,MOQMKP,1,HV,0.6501699235344096
MODE_best,MOQMKP,10,IGD,0.07680748358954659
MODE_best,MOQMKP,10,HV,0.6310460292868212
MODE_best,MOQMKP,2,IGD,0.07217468580451497
MODE_best,MOQMKP,2,HV,0.653136088760058
MODE_best,MOQMKP,3,IGD,0.08565982397163856
MODE_best,MOQMKP,3,HV,0.6309635663951223
MODE_best,MOQMKP,4,IGD,0.09864847401959288
MODE_best,MOQMKP,4,HV,0.625764655904843
MODE_best,MOQMKP,5,IGD,0.0934095253081267
MODE_best,MOQMKP,5,HV,0.6341471337897947
MODE_best,MOQMKP,6,IGD,0.12318127905455682
MODE_best,MOQMKP,6,HV,0.6284571942625818
MODE_best,MOQMKP,7,IGD,0.08407269496256782
MODE_best,MOQMKP,7,HV,0.5839122394922285
MODE_best,MOQMKP,8,IGD,0.10559996795140156
MODE_best,MOQMKP,8,HV,0.637310710180419
MODE_best,MOQMKP,9,IGD,0.08798473528977797
MODE_best,MOQMKP,9,HV,0.6353653355989807
MODE_best,MOQMKP,0,Time,7.109686613082886
MODE_best,MOQMKP,1,Time,5.851189374923706
MODE_best,MOQMKP,10,Time,5.773134708404541
MODE_best,MOQMKP,2,Time,5.577700138092041
MODE_best,MOQMKP,3,Time,6.1010332107543945
MODE_best,MOQMKP,4,Time,5.8452308177948
MODE_best,MOQMKP,5,Time,5.68049168586731
MODE_best,MOQMKP,6,Time,6.075597286224365
MODE_best,MOQMKP,7,Time,6.036119222640991
MODE_best,MOQMKP,8,Time,6.18453311920166
MODE_best,MOQMKP,9,Time,5.6286914348602295
MODE_rand,MOQMKP,0,IGD,0.08207094803064903
MODE_rand,MOQMKP,0,HV,0.6491466340146934
MODE_rand,MOQMKP,1,IGD,0.08593316850082026
MODE_rand,MOQMKP,1,HV,0.6081563296516566
MODE_rand,MOQMKP,10,IGD,0.09002694629385515
MODE_rand,MOQMKP,10,HV,0.5841246439102404
MODE_rand,MOQMKP,2,IGD,0.09354634080956706
MODE_rand,MOQMKP,2,HV,0.6632290469288821
MODE_rand,MOQMKP,3,IGD,0.08225477884737163
MODE_rand,MOQMKP,3,HV,0.5801926633015144
MODE_rand,MOQMKP,4,IGD,0.1077640184631919
MODE_rand,MOQMKP,4,HV,0.6083087610575241
MODE_rand,MOQMKP,5,IGD,0.09155658630036813
MODE_rand,MOQMKP,5,HV,0.5849605177670049
MODE_rand,MOQMKP,6,IGD,0.0940935879635186
MODE_rand,MOQMKP,6,HV,0.6197935928832026
MODE_rand,MOQMKP,7,IGD,0.07957749453667662
MODE_rand,MOQMKP,7,HV,0.5720600729671648
MODE_rand,MOQMKP,8,IGD,0.07616706035732308
MODE_rand,MOQMKP,8,HV,0.664822080063971
MODE_rand,MOQMKP,9,IGD,0.09307658897638209
MODE_rand,MOQMKP,9,HV,0.6004073167074817
MODE_rand,MOQMKP,0,Time,5.856813669204712
MODE_rand,MOQMKP,1,Time,6.281742811203003
MODE_rand,MOQMKP,10,Time,6.0499255657196045
MODE_rand,MOQMKP,2,Time,5.638261556625366
MODE_rand,MOQMKP,3,Time,5.522854566574097
MODE_rand,MOQMKP,4,Time,7.1416120529174805
MODE_rand,MOQMKP,5,Time,5.919247627258301
MODE_rand,MOQMKP,6,Time,5.812528610229492
MODE_rand,MOQMKP,7,Time,5.524011611938477
MODE_rand,MOQMKP,8,Time,5.651467800140381
MODE_rand,MOQMKP,9,Time,5.44182825088501
